"County","month","year","spi1"
"Harlan ",2,1998,0.2525375187397
"Hayes ",2,1998,0.369809001684189
"Hitchcock ",2,1998,0.602504670619965
"Holt ",2,1998,-0.739362299442291
"Hooker ",2,1998,-0.128641098737717
"Howard ",2,1998,-0.623405992984772
"Jefferson ",2,1998,1.4260425567627
"Johnson ",2,1998,1.40051531791687
"Kearney ",2,1998,-0.0734812691807747
"Keith ",2,1998,0.178314864635468
"Keya Paha ",2,1998,-0.531213700771332
"Kimball ",2,1998,1.04545593261719
"Knox ",2,1998,-0.956957936286926
"Lancaster ",2,1998,1.05582070350647
"Lincoln ",2,1998,-0.0930884629487991
"Logan ",2,1998,-0.643231511116028
"Loup ",2,1998,-0.78193062543869
"Madison ",2,1998,-1.11119508743286
"McPherson ",2,1998,-0.250747680664062
"Merrick ",2,1998,-0.781986832618713
"Morrill ",2,1998,0.968066036701202
"Nance ",2,1998,-0.840140700340271
"Nemaha ",2,1998,1.37876951694489
"Nuckolls ",2,1998,0.607219398021698
"Otoe ",2,1998,1.48734629154205
"Pawnee ",2,1998,1.38094675540924
"Perkins ",2,1998,0.162299185991287
"Phelps ",2,1998,-0.124456271529198
"Pierce ",2,1998,-1.11373138427734
"Platte ",2,1998,-0.953942835330963
"Polk ",2,1998,-0.761805713176727
"Red Willow ",2,1998,0.52057296037674
"Richardson ",2,1998,1.21673202514648
"Rock ",2,1998,-0.669864892959595
"Saline ",2,1998,1.02576076984406
"Sarpy ",2,1998,1.1096830368042
"Saunders ",2,1998,0.169743105769157
"Scotts Bluff ",2,1998,1.17727959156036
"Seward ",2,1998,0.137407884001732
"Sheridan ",2,1998,0.753401637077332
"Sherman ",2,1998,-0.662792503833771
"Sioux ",2,1998,0.993546485900879
"Stanton ",2,1998,-1.20141386985779
"Thayer ",2,1998,1.00221848487854
"Thomas ",2,1998,-0.538575828075409
"Thurston ",2,1998,-1.11051905155182
"Valley ",2,1998,-0.811529576778412
"Washington ",2,1998,0.0561480857431889
"Wayne ",2,1998,-1.15876746177673
"Webster ",2,1998,0.394145280122757
"Wheeler ",2,1998,-0.863710463047028
"York ",2,1998,-0.458980202674866
"Adams ",3,1998,1.19714665412903
"Antelope ",3,1998,1.56332862377167
"Arthur ",3,1998,-0.273731082677841
"Banner ",3,1998,0.140311717987061
"Blaine ",3,1998,0.739557027816772
"Boone ",3,1998,1.44688022136688
"Box Butte ",3,1998,1.14560401439667
"Boyd ",3,1998,0.95559173822403
"Brown ",3,1998,0.502857148647308
"Buffalo ",3,1998,1.38261091709137
"Burt ",3,1998,1.25035917758942
"Butler ",3,1998,1.3549952507019
"Cass ",3,1998,1.38686907291412
"Cedar ",3,1998,1.52655410766602
"Chase ",3,1998,-0.980505645275116
"Cherry ",3,1998,0.893091917037964
"Cheyenne ",3,1998,-0.536230564117432
"Clay ",3,1998,1.28191268444061
"Colfax ",3,1998,1.34919810295105
"Cuming ",3,1998,1.34548771381378
"Custer ",3,1998,0.872524261474609
"Dakota ",3,1998,1.60051929950714
"Dawes ",3,1998,1.72586047649384
"Dawson ",3,1998,0.742668569087982
"Deuel ",3,1998,-0.788021147251129
"Dixon ",3,1998,1.53444981575012
"Dodge ",3,1998,1.27337300777435
"Douglas ",3,1998,1.34867823123932
"Dundy ",3,1998,-1.08674383163452
"Fillmore ",3,1998,1.33700287342072
"Franklin ",3,1998,1.27100002765656
"Frontier ",3,1998,-0.221930578351021
"Furnas ",3,1998,0.828944265842438
"Gage ",3,1998,1.61058354377747
"Garden ",3,1998,-0.144983619451523
"Garfield ",3,1998,1.11929416656494
"Gosper ",3,1998,0.865967988967896
"Grant ",3,1998,0.00933794397860765
"Greeley ",3,1998,1.34566736221313
"Hall ",3,1998,1.26543188095093
"Hamilton ",3,1998,1.34720349311829
"Harlan ",3,1998,1.28538262844086
"Hayes ",3,1998,-0.650659263134003
"Hitchcock ",3,1998,-0.810470819473267
"Holt ",3,1998,1.16360342502594
"Hooker ",3,1998,0.0999734848737717
"Howard ",3,1998,1.39434349536896
"Jefferson ",3,1998,1.43761599063873
"Johnson ",3,1998,1.71939849853516
"Kearney ",3,1998,1.19995057582855
"Keith ",3,1998,-0.585222601890564
"Keya Paha ",3,1998,0.701592028141022
"Kimball ",3,1998,-0.199687138199806
"Knox ",3,1998,1.51277124881744
"Lancaster ",3,1998,1.43833792209625
"Lincoln ",3,1998,-0.0976690798997879
"Logan ",3,1998,0.261107891798019
"Loup ",3,1998,1.04560565948486
"Madison ",3,1998,1.35902285575867
"McPherson ",3,1998,-0.179293781518936
"Merrick ",3,1998,1.434330701828
"Morrill ",3,1998,0.326033860445023
"Nance ",3,1998,1.37201464176178
"Nemaha ",3,1998,1.65450286865234
"Nuckolls ",3,1998,1.27800643444061
"Otoe ",3,1998,1.48837745189667
"Pawnee ",3,1998,1.78989732265472
"Perkins ",3,1998,-0.785722851753235
"Phelps ",3,1998,1.30332815647125
"Pierce ",3,1998,1.44526314735413
"Platte ",3,1998,1.41500854492188
"Polk ",3,1998,1.37290894985199
"Red Willow ",3,1998,-0.37549164891243
"Richardson ",3,1998,1.55293679237366
"Rock ",3,1998,0.790608942508698
"Saline ",3,1998,1.42222797870636
"Sarpy ",3,1998,1.40152680873871
"Saunders ",3,1998,1.3174546957016
"Scotts Bluff ",3,1998,0.713611960411072
"Seward ",3,1998,1.38513159751892
"Sheridan ",3,1998,1.22875893115997
"Sherman ",3,1998,1.42067003250122
"Sioux ",3,1998,1.26331222057343
"Stanton ",3,1998,1.37230467796326
"Thayer ",3,1998,1.43573820590973
"Thomas ",3,1998,0.39147812128067
"Thurston ",3,1998,1.44828975200653
"Valley ",3,1998,1.26069295406342
"Washington ",3,1998,1.20728695392609
"Wayne ",3,1998,1.50089192390442
"Webster ",3,1998,1.13717997074127
"Wheeler ",3,1998,1.41765570640564
"York ",3,1998,1.39154875278473
"Adams ",4,1998,0.819368243217468
"Antelope ",4,1998,1.02643692493439
"Arthur ",4,1998,-1.1294173002243
"Banner ",4,1998,-0.746621370315552
"Blaine ",4,1998,-0.525741338729858
