district_year,location,year,POP,fips
Alabama-Autauga:2000,Alabama-Autauga,2000,44021,01001
Alabama-Autauga:2001,Alabama-Autauga,2001,44889,01001
Alabama-Autauga:2002,Alabama-Autauga,2002,45909,01001
Alabama-Autauga:2003,Alabama-Autauga,2003,46800,01001
Alabama-Autauga:2004,Alabama-Autauga,2004,48366,01001
Alabama-Autauga:2005,Alabama-Autauga,2005,49676,01001
Alabama-Autauga:2006,Alabama-Autauga,2006,51328,01001
Alabama-Autauga:2007,Alabama-Autauga,2007,52405,01001
Alabama-Autauga:2008,Alabama-Autauga,2008,53277,01001
Alabama-Autauga:2009,Alabama-Autauga,2009,54135,01001
Alabama-Autauga:2010,Alabama-Autauga,2010,54773,01001
Alabama-Autauga:2011,Alabama-Autauga,2011,55227,01001
Alabama-Autauga:2012,Alabama-Autauga,2012,54954,01001
Alabama-Autauga:2013,Alabama-Autauga,2013,54727,01001
Alabama-Autauga:2014,Alabama-Autauga,2014,54893,01001
Alabama-Autauga:2015,Alabama-Autauga,2015,54864,01001
Alabama-Autauga:2016,Alabama-Autauga,2016,55243,01001
Alabama-Autauga:2017,Alabama-Autauga,2017,55390,01001
Alabama-Autauga:2018,Alabama-Autauga,2018,55533,01001
Alabama-Autauga:2019,Alabama-Autauga,2019,55869,01001
Alabama-Baldwin:2000,Alabama-Baldwin,2000,141342,01003
Alabama-Baldwin:2001,Alabama-Baldwin,2001,144875,01003
Alabama-Baldwin:2002,Alabama-Baldwin,2002,147957,01003
Alabama-Baldwin:2003,Alabama-Baldwin,2003,151509,01003
Alabama-Baldwin:2004,Alabama-Baldwin,2004,156266,01003
Alabama-Baldwin:2005,Alabama-Baldwin,2005,162183,01003
Alabama-Baldwin:2006,Alabama-Baldwin,2006,168121,01003
Alabama-Baldwin:2007,Alabama-Baldwin,2007,172404,01003
Alabama-Baldwin:2008,Alabama-Baldwin,2008,175827,01003
Alabama-Baldwin:2009,Alabama-Baldwin,2009,179406,01003
Alabama-Baldwin:2010,Alabama-Baldwin,2010,183112,01003
Alabama-Baldwin:2011,Alabama-Baldwin,2011,186558,01003
Alabama-Baldwin:2012,Alabama-Baldwin,2012,190145,01003
Alabama-Baldwin:2013,Alabama-Baldwin,2013,194885,01003
Alabama-Baldwin:2014,Alabama-Baldwin,2014,199183,01003
Alabama-Baldwin:2015,Alabama-Baldwin,2015,202939,01003
Alabama-Baldwin:2016,Alabama-Baldwin,2016,207601,01003
Alabama-Baldwin:2017,Alabama-Baldwin,2017,212521,01003
Alabama-Baldwin:2018,Alabama-Baldwin,2018,217855,01003
Alabama-Baldwin:2019,Alabama-Baldwin,2019,223234,01003
Alabama-Barbour:2000,Alabama-Barbour,2000,29015,01005
Alabama-Barbour:2001,Alabama-Barbour,2001,28863,01005
Alabama-Barbour:2002,Alabama-Barbour,2002,28653,01005
Alabama-Barbour:2003,Alabama-Barbour,2003,28594,01005
Alabama-Barbour:2004,Alabama-Barbour,2004,28287,01005
Alabama-Barbour:2005,Alabama-Barbour,2005,28027,01005
Alabama-Barbour:2006,Alabama-Barbour,2006,27861,01005
Alabama-Barbour:2007,Alabama-Barbour,2007,27757,01005
Alabama-Barbour:2008,Alabama-Barbour,2008,27808,01005
Alabama-Barbour:2009,Alabama-Barbour,2009,27657,01005
Alabama-Barbour:2010,Alabama-Barbour,2010,27327,01005
Alabama-Barbour:2011,Alabama-Barbour,2011,27341,01005
Alabama-Barbour:2012,Alabama-Barbour,2012,27169,01005
Alabama-Barbour:2013,Alabama-Barbour,2013,26937,01005
Alabama-Barbour:2014,Alabama-Barbour,2014,26755,01005
Alabama-Barbour:2015,Alabama-Barbour,2015,26283,01005
Alabama-Barbour:2016,Alabama-Barbour,2016,25806,01005
Alabama-Barbour:2017,Alabama-Barbour,2017,25157,01005
Alabama-Barbour:2018,Alabama-Barbour,2018,24872,01005
Alabama-Barbour:2019,Alabama-Barbour,2019,24686,01005
Alabama-Bibb:2000,Alabama-Bibb,2000,19913,01007
Alabama-Bibb:2001,Alabama-Bibb,2001,21028,01007
Alabama-Bibb:2002,Alabama-Bibb,2002,21199,01007
Alabama-Bibb:2003,Alabama-Bibb,2003,21399,01007
Alabama-Bibb:2004,Alabama-Bibb,2004,21721,01007
Alabama-Bibb:2005,Alabama-Bibb,2005,22042,01007
Alabama-Bibb:2006,Alabama-Bibb,2006,22099,01007
Alabama-Bibb:2007,Alabama-Bibb,2007,22438,01007
Alabama-Bibb:2008,Alabama-Bibb,2008,22705,01007
Alabama-Bibb:2009,Alabama-Bibb,2009,22941,01007
Alabama-Bibb:2010,Alabama-Bibb,2010,22870,01007
Alabama-Bibb:2011,Alabama-Bibb,2011,22745,01007
Alabama-Bibb:2012,Alabama-Bibb,2012,22667,01007
Alabama-Bibb:2013,Alabama-Bibb,2013,22521,01007
Alabama-Bibb:2014,Alabama-Bibb,2014,22553,01007
Alabama-Bibb:2015,Alabama-Bibb,2015,22566,01007
Alabama-Bibb:2016,Alabama-Bibb,2016,22586,01007
Alabama-Bibb:2017,Alabama-Bibb,2017,22550,01007
Alabama-Bibb:2018,Alabama-Bibb,2018,22367,01007
Alabama-Bibb:2019,Alabama-Bibb,2019,22394,01007
Alabama-Blount:2000,Alabama-Blount,2000,51107,01009
Alabama-Blount:2001,Alabama-Blount,2001,51845,01009
Alabama-Blount:2002,Alabama-Blount,2002,52551,01009
Alabama-Blount:2003,Alabama-Blount,2003,53457,01009
Alabama-Blount:2004,Alabama-Blount,2004,54124,01009
Alabama-Blount:2005,Alabama-Blount,2005,54624,01009
Alabama-Blount:2006,Alabama-Blount,2006,55485,01009
Alabama-Blount:2007,Alabama-Blount,2007,56240,01009
Alabama-Blount:2008,Alabama-Blount,2008,57055,01009
Alabama-Blount:2009,Alabama-Blount,2009,57341,01009
Alabama-Blount:2010,Alabama-Blount,2010,57376,01009
Alabama-Blount:2011,Alabama-Blount,2011,57560,01009
Alabama-Blount:2012,Alabama-Blount,2012,57580,01009
Alabama-Blount:2013,Alabama-Blount,2013,57619,01009
Alabama-Blount:2014,Alabama-Blount,2014,57526,01009
Alabama-Blount:2015,Alabama-Blount,2015,57526,01009
Alabama-Blount:2016,Alabama-Blount,2016,57494,01009
Alabama-Blount:2017,Alabama-Blount,2017,57787,01009
Alabama-Blount:2018,Alabama-Blount,2018,57771,01009
Alabama-Blount:2019,Alabama-Blount,2019,57826,01009
Alabama-Bullock:2000,Alabama-Bullock,2000,11581,01011
Alabama-Bullock:2001,Alabama-Bullock,2001,11358,01011
Alabama-Bullock:2002,Alabama-Bullock,2002,11256,01011
Alabama-Bullock:2003,Alabama-Bullock,2003,11316,01011
Alabama-Bullock:2004,Alabama-Bullock,2004,11056,01011
Alabama-Bullock:2005,Alabama-Bullock,2005,11011,01011
Alabama-Bullock:2006,Alabama-Bullock,2006,10776,01011
Alabama-Bullock:2007,Alabama-Bullock,2007,11011,01011
Alabama-Bullock:2008,Alabama-Bullock,2008,10953,01011
Alabama-Bullock:2009,Alabama-Bullock,2009,10987,01011
Alabama-Bullock:2010,Alabama-Bullock,2010,10876,01011
Alabama-Bullock:2011,Alabama-Bullock,2011,10675,01011
Alabama-Bullock:2012,Alabama-Bullock,2012,10606,01011
Alabama-Bullock:2013,Alabama-Bullock,2013,10549,01011
Alabama-Bullock:2014,Alabama-Bullock,2014,10663,01011
Alabama-Bullock:2015,Alabama-Bullock,2015,10400,01011
Alabama-Bullock:2016,Alabama-Bullock,2016,10389,01011
Alabama-Bullock:2017,Alabama-Bullock,2017,10176,01011
Alabama-Bullock:2018,Alabama-Bullock,2018,10174,01011
Alabama-Bullock:2019,Alabama-Bullock,2019,10101,01011
Alabama-Butler:2000,Alabama-Butler,2000,21325,01013
Alabama-Butler:2001,Alabama-Butler,2001,21139,01013
Alabama-Butler:2002,Alabama-Butler,2002,20803,01013
Alabama-Butler:2003,Alabama-Butler,2003,20833,01013
Alabama-Butler:2004,Alabama-Butler,2004,20870,01013
Alabama-Butler:2005,Alabama-Butler,2005,20830,01013
Alabama-Butler:2006,Alabama-Butler,2006,20815,01013
Alabama-Butler:2007,Alabama-Butler,2007,20894,01013
Alabama-Butler:2008,Alabama-Butler,2008,20949,01013
Alabama-Butler:2009,Alabama-Butler,2009,20867,01013
Alabama-Butler:2010,Alabama-Butler,2010,20932,01013
Alabama-Butler:2011,Alabama-Butler,2011,20866,01013
Alabama-Butler:2012,Alabama-Butler,2012,20670,01013
Alabama-Butler:2013,Alabama-Butler,2013,20356,01013
Alabama-Butler:2014,Alabama-Butler,2014,20327,01013
Alabama-Butler:2015,Alabama-Butler,2015,20162,01013
Alabama-Butler:2016,Alabama-Butler,2016,20012,01013
Alabama-Butler:2017,Alabama-Butler,2017,19888,01013
Alabama-Butler:2018,Alabama-Butler,2018,19631,01013
Alabama-Butler:2019,Alabama-Butler,2019,19448,01013
Alabama-Calhoun:2000,Alabama-Calhoun,2000,111081,01015
Alabama-Calhoun:2001,Alabama-Calhoun,2001,111266,01015
Alabama-Calhoun:2002,Alabama-Calhoun,2002,111625,01015
Alabama-Calhoun:2003,Alabama-Calhoun,2003,112705,01015
Alabama-Calhoun:2004,Alabama-Calhoun,2004,113462,01015
Alabama-Calhoun:2005,Alabama-Calhoun,2005,114477,01015
Alabama-Calhoun:2006,Alabama-Calhoun,2006,115388,01015
Alabama-Calhoun:2007,Alabama-Calhoun,2007,116211,01015
Alabama-Calhoun:2008,Alabama-Calhoun,2008,117274,01015
Alabama-Calhoun:2009,Alabama-Calhoun,2009,118363,01015
Alabama-Calhoun:2010,Alabama-Calhoun,2010,118408,01015
Alabama-Calhoun:2011,Alabama-Calhoun,2011,117744,01015
Alabama-Calhoun:2012,Alabama-Calhoun,2012,117190,01015
Alabama-Calhoun:2013,Alabama-Calhoun,2013,116471,01015
Alabama-Calhoun:2014,Alabama-Calhoun,2014,115917,01015
Alabama-Calhoun:2015,Alabama-Calhoun,2015,115469,01015
Alabama-Calhoun:2016,Alabama-Calhoun,2016,114973,01015
Alabama-Calhoun:2017,Alabama-Calhoun,2017,114710,01015
Alabama-Calhoun:2018,Alabama-Calhoun,2018,114331,01015
Alabama-Calhoun:2019,Alabama-Calhoun,2019,113605,01015
Alabama-Chambers:2000,Alabama-Chambers,2000,36571,01017
Alabama-Chambers:2001,Alabama-Chambers,2001,36274,01017
Alabama-Chambers:2002,Alabama-Chambers,2002,35965,01017
Alabama-Chambers:2003,Alabama-Chambers,2003,35680,01017
Alabama-Chambers:2004,Alabama-Chambers,2004,35463,01017
Alabama-Chambers:2005,Alabama-Chambers,2005,35279,01017
Alabama-Chambers:2006,Alabama-Chambers,2006,34945,01017
Alabama-Chambers:2007,Alabama-Chambers,2007,34847,01017
Alabama-Chambers:2008,Alabama-Chambers,2008,34563,01017
Alabama-Chambers:2009,Alabama-Chambers,2009,34384,01017
Alabama-Chambers:2010,Alabama-Chambers,2010,34122,01017
Alabama-Chambers:2011,Alabama-Chambers,2011,34033,01017
Alabama-Chambers:2012,Alabama-Chambers,2012,34104,01017
Alabama-Chambers:2013,Alabama-Chambers,2013,34139,01017
Alabama-Chambers:2014,Alabama-Chambers,2014,33977,01017
Alabama-Chambers:2015,Alabama-Chambers,2015,33996,01017
Alabama-Chambers:2016,Alabama-Chambers,2016,33745,01017
Alabama-Chambers:2017,Alabama-Chambers,2017,33707,01017
Alabama-Chambers:2018,Alabama-Chambers,2018,33600,01017
Alabama-Chambers:2019,Alabama-Chambers,2019,33254,01017
Alabama-Cherokee:2000,Alabama-Cherokee,2000,24006,01019
Alabama-Cherokee:2001,Alabama-Cherokee,2001,24182,01019
Alabama-Cherokee:2002,Alabama-Cherokee,2002,24403,01019
Alabama-Cherokee:2003,Alabama-Cherokee,2003,24591,01019
Alabama-Cherokee:2004,Alabama-Cherokee,2004,24887,01019
Alabama-Cherokee:2005,Alabama-Cherokee,2005,25031,01019
Alabama-Cherokee:2006,Alabama-Cherokee,2006,25466,01019
Alabama-Cherokee:2007,Alabama-Cherokee,2007,25553,01019
Alabama-Cherokee:2008,Alabama-Cherokee,2008,25636,01019
Alabama-Cherokee:2009,Alabama-Cherokee,2009,25854,01019
Alabama-Cherokee:2010,Alabama-Cherokee,2010,25963,01019
Alabama-Cherokee:2011,Alabama-Cherokee,2011,25989,01019
Alabama-Cherokee:2012,Alabama-Cherokee,2012,25958,01019
Alabama-Cherokee:2013,Alabama-Cherokee,2013,26017,01019
Alabama-Cherokee:2014,Alabama-Cherokee,2014,25895,01019
Alabama-Cherokee:2015,Alabama-Cherokee,2015,25732,01019
Alabama-Cherokee:2016,Alabama-Cherokee,2016,25768,01019
Alabama-Cherokee:2017,Alabama-Cherokee,2017,25805,01019
Alabama-Cherokee:2018,Alabama-Cherokee,2018,26014,01019
Alabama-Cherokee:2019,Alabama-Cherokee,2019,26196,01019
Alabama-Chilton:2000,Alabama-Chilton,2000,39897,01021
Alabama-Chilton:2001,Alabama-Chilton,2001,40197,01021
Alabama-Chilton:2002,Alabama-Chilton,2002,40683,01021
Alabama-Chilton:2003,Alabama-Chilton,2003,41079,01021
Alabama-Chilton:2004,Alabama-Chilton,2004,41534,01021
Alabama-Chilton:2005,Alabama-Chilton,2005,41946,01021
Alabama-Chilton:2006,Alabama-Chilton,2006,42318,01021
Alabama-Chilton:2007,Alabama-Chilton,2007,42881,01021
Alabama-Chilton:2008,Alabama-Chilton,2008,43239,01021
Alabama-Chilton:2009,Alabama-Chilton,2009,43484,01021
Alabama-Chilton:2010,Alabama-Chilton,2010,43653,01021
Alabama-Chilton:2011,Alabama-Chilton,2011,43689,01021
Alabama-Chilton:2012,Alabama-Chilton,2012,43582,01021
Alabama-Chilton:2013,Alabama-Chilton,2013,43628,01021
Alabama-Chilton:2014,Alabama-Chilton,2014,43760,01021
Alabama-Chilton:2015,Alabama-Chilton,2015,43700,01021
Alabama-Chilton:2016,Alabama-Chilton,2016,43866,01021
Alabama-Chilton:2017,Alabama-Chilton,2017,44120,01021
Alabama-Chilton:2018,Alabama-Chilton,2018,44163,01021
Alabama-Chilton:2019,Alabama-Chilton,2019,44428,01021
Alabama-Choctaw:2000,Alabama-Choctaw,2000,15875,01023
Alabama-Choctaw:2001,Alabama-Choctaw,2001,15677,01023
Alabama-Choctaw:2002,Alabama-Choctaw,2002,15367,01023
Alabama-Choctaw:2003,Alabama-Choctaw,2003,15199,01023
Alabama-Choctaw:2004,Alabama-Choctaw,2004,14930,01023
Alabama-Choctaw:2005,Alabama-Choctaw,2005,14545,01023
Alabama-Choctaw:2006,Alabama-Choctaw,2006,14431,01023
Alabama-Choctaw:2007,Alabama-Choctaw,2007,14216,01023
Alabama-Choctaw:2008,Alabama-Choctaw,2008,14114,01023
Alabama-Choctaw:2009,Alabama-Choctaw,2009,13976,01023
Alabama-Choctaw:2010,Alabama-Choctaw,2010,13849,01023
Alabama-Choctaw:2011,Alabama-Choctaw,2011,13609,01023
Alabama-Choctaw:2012,Alabama-Choctaw,2012,13563,01023
Alabama-Choctaw:2013,Alabama-Choctaw,2013,13397,01023
Alabama-Choctaw:2014,Alabama-Choctaw,2014,13317,01023
Alabama-Choctaw:2015,Alabama-Choctaw,2015,13231,01023
Alabama-Choctaw:2016,Alabama-Choctaw,2016,13045,01023
Alabama-Choctaw:2017,Alabama-Choctaw,2017,12925,01023
Alabama-Choctaw:2018,Alabama-Choctaw,2018,12833,01023
Alabama-Choctaw:2019,Alabama-Choctaw,2019,12589,01023
Alabama-Clarke:2000,Alabama-Clarke,2000,27819,01025
Alabama-Clarke:2001,Alabama-Clarke,2001,27624,01025
Alabama-Clarke:2002,Alabama-Clarke,2002,27267,01025
Alabama-Clarke:2003,Alabama-Clarke,2003,27090,01025
Alabama-Clarke:2004,Alabama-Clarke,2004,26958,01025
Alabama-Clarke:2005,Alabama-Clarke,2005,26764,01025
Alabama-Clarke:2006,Alabama-Clarke,2006,26755,01025
Alabama-Clarke:2007,Alabama-Clarke,2007,26436,01025
Alabama-Clarke:2008,Alabama-Clarke,2008,26283,01025
Alabama-Clarke:2009,Alabama-Clarke,2009,26038,01025
Alabama-Clarke:2010,Alabama-Clarke,2010,25766,01025
Alabama-Clarke:2011,Alabama-Clarke,2011,25587,01025
Alabama-Clarke:2012,Alabama-Clarke,2012,25155,01025
Alabama-Clarke:2013,Alabama-Clarke,2013,25123,01025
Alabama-Clarke:2014,Alabama-Clarke,2014,24864,01025
Alabama-Clarke:2015,Alabama-Clarke,2015,24698,01025
Alabama-Clarke:2016,Alabama-Clarke,2016,24340,01025
Alabama-Clarke:2017,Alabama-Clarke,2017,24063,01025
Alabama-Clarke:2018,Alabama-Clarke,2018,23918,01025
Alabama-Clarke:2019,Alabama-Clarke,2019,23622,01025
Alabama-Clay:2000,Alabama-Clay,2000,14263,01027
Alabama-Clay:2001,Alabama-Clay,2001,14298,01027
Alabama-Clay:2002,Alabama-Clay,2002,14257,01027
Alabama-Clay:2003,Alabama-Clay,2003,14203,01027
Alabama-Clay:2004,Alabama-Clay,2004,14121,01027
Alabama-Clay:2005,Alabama-Clay,2005,14077,01027
Alabama-Clay:2006,Alabama-Clay,2006,14053,01027
Alabama-Clay:2007,Alabama-Clay,2007,14085,01027
Alabama-Clay:2008,Alabama-Clay,2008,14161,01027
Alabama-Clay:2009,Alabama-Clay,2009,14006,01027
Alabama-Clay:2010,Alabama-Clay,2010,13898,01027
Alabama-Clay:2011,Alabama-Clay,2011,13687,01027
Alabama-Clay:2012,Alabama-Clay,2012,13434,01027
Alabama-Clay:2013,Alabama-Clay,2013,13404,01027
Alabama-Clay:2014,Alabama-Clay,2014,13441,01027
Alabama-Clay:2015,Alabama-Clay,2015,13415,01027
Alabama-Clay:2016,Alabama-Clay,2016,13393,01027
Alabama-Clay:2017,Alabama-Clay,2017,13350,01027
Alabama-Clay:2018,Alabama-Clay,2018,13294,01027
Alabama-Clay:2019,Alabama-Clay,2019,13235,01027
Alabama-Cleburne:2000,Alabama-Cleburne,2000,14172,01029
Alabama-Cleburne:2001,Alabama-Cleburne,2001,14222,01029
Alabama-Cleburne:2002,Alabama-Cleburne,2002,14416,01029
Alabama-Cleburne:2003,Alabama-Cleburne,2003,14438,01029
Alabama-Cleburne:2004,Alabama-Cleburne,2004,14339,01029
Alabama-Cleburne:2005,Alabama-Cleburne,2005,14368,01029
Alabama-Cleburne:2006,Alabama-Cleburne,2006,14538,01029
Alabama-Cleburne:2007,Alabama-Cleburne,2007,14799,01029
Alabama-Cleburne:2008,Alabama-Cleburne,2008,14874,01029
Alabama-Cleburne:2009,Alabama-Cleburne,2009,14918,01029
Alabama-Cleburne:2010,Alabama-Cleburne,2010,15004,01029
Alabama-Cleburne:2011,Alabama-Cleburne,2011,14928,01029
Alabama-Cleburne:2012,Alabama-Cleburne,2012,14889,01029
Alabama-Cleburne:2013,Alabama-Cleburne,2013,14976,01029
Alabama-Cleburne:2014,Alabama-Cleburne,2014,15026,01029
Alabama-Cleburne:2015,Alabama-Cleburne,2015,14914,01029
Alabama-Cleburne:2016,Alabama-Cleburne,2016,14848,01029
Alabama-Cleburne:2017,Alabama-Cleburne,2017,14899,01029
Alabama-Cleburne:2018,Alabama-Cleburne,2018,15010,01029
Alabama-Cleburne:2019,Alabama-Cleburne,2019,14910,01029
Alabama-Coffee:2000,Alabama-Coffee,2000,43580,01031
Alabama-Coffee:2001,Alabama-Coffee,2001,43716,01031
Alabama-Coffee:2002,Alabama-Coffee,2002,43930,01031
Alabama-Coffee:2003,Alabama-Coffee,2003,44315,01031
Alabama-Coffee:2004,Alabama-Coffee,2004,45053,01031
Alabama-Coffee:2005,Alabama-Coffee,2005,45604,01031
Alabama-Coffee:2006,Alabama-Coffee,2006,46228,01031
Alabama-Coffee:2007,Alabama-Coffee,2007,47458,01031
Alabama-Coffee:2008,Alabama-Coffee,2008,48516,01031
Alabama-Coffee:2009,Alabama-Coffee,2009,49440,01031
Alabama-Coffee:2010,Alabama-Coffee,2010,50208,01031
Alabama-Coffee:2011,Alabama-Coffee,2011,50444,01031
Alabama-Coffee:2012,Alabama-Coffee,2012,51141,01031
Alabama-Coffee:2013,Alabama-Coffee,2013,50681,01031
Alabama-Coffee:2014,Alabama-Coffee,2014,50657,01031
Alabama-Coffee:2015,Alabama-Coffee,2015,50963,01031
Alabama-Coffee:2016,Alabama-Coffee,2016,51202,01031
Alabama-Coffee:2017,Alabama-Coffee,2017,51853,01031
Alabama-Coffee:2018,Alabama-Coffee,2018,51950,01031
Alabama-Coffee:2019,Alabama-Coffee,2019,52342,01031
Alabama-Colbert:2000,Alabama-Colbert,2000,54997,01033
Alabama-Colbert:2001,Alabama-Colbert,2001,54793,01033
Alabama-Colbert:2002,Alabama-Colbert,2002,54536,01033
Alabama-Colbert:2003,Alabama-Colbert,2003,54279,01033
Alabama-Colbert:2004,Alabama-Colbert,2004,54380,01033
Alabama-Colbert:2005,Alabama-Colbert,2005,54359,01033
Alabama-Colbert:2006,Alabama-Colbert,2006,54413,01033
Alabama-Colbert:2007,Alabama-Colbert,2007,54486,01033
Alabama-Colbert:2008,Alabama-Colbert,2008,54473,01033
Alabama-Colbert:2009,Alabama-Colbert,2009,54426,01033
Alabama-Colbert:2010,Alabama-Colbert,2010,54524,01033
Alabama-Colbert:2011,Alabama-Colbert,2011,54539,01033
Alabama-Colbert:2012,Alabama-Colbert,2012,54570,01033
Alabama-Colbert:2013,Alabama-Colbert,2013,54529,01033
Alabama-Colbert:2014,Alabama-Colbert,2014,54462,01033
Alabama-Colbert:2015,Alabama-Colbert,2015,54417,01033
Alabama-Colbert:2016,Alabama-Colbert,2016,54497,01033
Alabama-Colbert:2017,Alabama-Colbert,2017,54695,01033
Alabama-Colbert:2018,Alabama-Colbert,2018,55004,01033
Alabama-Colbert:2019,Alabama-Colbert,2019,55241,01033
Alabama-Conecuh:2000,Alabama-Conecuh,2000,14035,01035
Alabama-Conecuh:2001,Alabama-Conecuh,2001,13940,01035
Alabama-Conecuh:2002,Alabama-Conecuh,2002,13793,01035
Alabama-Conecuh:2003,Alabama-Conecuh,2003,13585,01035
Alabama-Conecuh:2004,Alabama-Conecuh,2004,13430,01035
Alabama-Conecuh:2005,Alabama-Conecuh,2005,13421,01035
Alabama-Conecuh:2006,Alabama-Conecuh,2006,13603,01035
Alabama-Conecuh:2007,Alabama-Conecuh,2007,13441,01035
Alabama-Conecuh:2008,Alabama-Conecuh,2008,13388,01035
Alabama-Conecuh:2009,Alabama-Conecuh,2009,13274,01035
Alabama-Conecuh:2010,Alabama-Conecuh,2010,13236,01035
Alabama-Conecuh:2011,Alabama-Conecuh,2011,13195,01035
Alabama-Conecuh:2012,Alabama-Conecuh,2012,13046,01035
Alabama-Conecuh:2013,Alabama-Conecuh,2013,12912,01035
Alabama-Conecuh:2014,Alabama-Conecuh,2014,12677,01035
Alabama-Conecuh:2015,Alabama-Conecuh,2015,12678,01035
Alabama-Conecuh:2016,Alabama-Conecuh,2016,12500,01035
Alabama-Conecuh:2017,Alabama-Conecuh,2017,12431,01035
Alabama-Conecuh:2018,Alabama-Conecuh,2018,12292,01035
Alabama-Conecuh:2019,Alabama-Conecuh,2019,12067,01035
Alabama-Coosa:2000,Alabama-Coosa,2000,11844,01037
Alabama-Coosa:2001,Alabama-Coosa,2001,11848,01037
Alabama-Coosa:2002,Alabama-Coosa,2002,11740,01037
Alabama-Coosa:2003,Alabama-Coosa,2003,11732,01037
Alabama-Coosa:2004,Alabama-Coosa,2004,11560,01037
Alabama-Coosa:2005,Alabama-Coosa,2005,11467,01037
Alabama-Coosa:2006,Alabama-Coosa,2006,11451,01037
Alabama-Coosa:2007,Alabama-Coosa,2007,11439,01037
Alabama-Coosa:2008,Alabama-Coosa,2008,11493,01037
Alabama-Coosa:2009,Alabama-Coosa,2009,11410,01037
Alabama-Coosa:2010,Alabama-Coosa,2010,11780,01037
Alabama-Coosa:2011,Alabama-Coosa,2011,11486,01037
Alabama-Coosa:2012,Alabama-Coosa,2012,11346,01037
Alabama-Coosa:2013,Alabama-Coosa,2013,11254,01037
Alabama-Coosa:2014,Alabama-Coosa,2014,11037,01037
Alabama-Coosa:2015,Alabama-Coosa,2015,10934,01037
Alabama-Coosa:2016,Alabama-Coosa,2016,10819,01037
Alabama-Coosa:2017,Alabama-Coosa,2017,10724,01037
Alabama-Coosa:2018,Alabama-Coosa,2018,10643,01037
Alabama-Coosa:2019,Alabama-Coosa,2019,10663,01037
Alabama-Covington:2000,Alabama-Covington,2000,37514,01039
Alabama-Covington:2001,Alabama-Covington,2001,37069,01039
Alabama-Covington:2002,Alabama-Covington,2002,36901,01039
Alabama-Covington:2003,Alabama-Covington,2003,36860,01039
Alabama-Covington:2004,Alabama-Covington,2004,36806,01039
Alabama-Covington:2005,Alabama-Covington,2005,37204,01039
Alabama-Covington:2006,Alabama-Covington,2006,37441,01039
Alabama-Covington:2007,Alabama-Covington,2007,37631,01039
Alabama-Covington:2008,Alabama-Covington,2008,37545,01039
Alabama-Covington:2009,Alabama-Covington,2009,37648,01039
Alabama-Covington:2010,Alabama-Covington,2010,37809,01039
Alabama-Covington:2011,Alabama-Covington,2011,38020,01039
Alabama-Covington:2012,Alabama-Covington,2012,37805,01039
Alabama-Covington:2013,Alabama-Covington,2013,37814,01039
Alabama-Covington:2014,Alabama-Covington,2014,37760,01039
Alabama-Covington:2015,Alabama-Covington,2015,37556,01039
Alabama-Covington:2016,Alabama-Covington,2016,37382,01039
Alabama-Covington:2017,Alabama-Covington,2017,37062,01039
Alabama-Covington:2018,Alabama-Covington,2018,36953,01039
Alabama-Covington:2019,Alabama-Covington,2019,37049,01039
Alabama-Crenshaw:2000,Alabama-Crenshaw,2000,13692,01041
Alabama-Crenshaw:2001,Alabama-Crenshaw,2001,13724,01041
Alabama-Crenshaw:2002,Alabama-Crenshaw,2002,13635,01041
Alabama-Crenshaw:2003,Alabama-Crenshaw,2003,13652,01041
Alabama-Crenshaw:2004,Alabama-Crenshaw,2004,13727,01041
Alabama-Crenshaw:2005,Alabama-Crenshaw,2005,13699,01041
Alabama-Crenshaw:2006,Alabama-Crenshaw,2006,13880,01041
Alabama-Crenshaw:2007,Alabama-Crenshaw,2007,13956,01041
Alabama-Crenshaw:2008,Alabama-Crenshaw,2008,13922,01041
Alabama-Crenshaw:2009,Alabama-Crenshaw,2009,14024,01041
Alabama-Crenshaw:2010,Alabama-Crenshaw,2010,13869,01041
Alabama-Crenshaw:2011,Alabama-Crenshaw,2011,13894,01041
Alabama-Crenshaw:2012,Alabama-Crenshaw,2012,13915,01041
Alabama-Crenshaw:2013,Alabama-Crenshaw,2013,13847,01041
Alabama-Crenshaw:2014,Alabama-Crenshaw,2014,13851,01041
Alabama-Crenshaw:2015,Alabama-Crenshaw,2015,13850,01041
Alabama-Crenshaw:2016,Alabama-Crenshaw,2016,13916,01041
Alabama-Crenshaw:2017,Alabama-Crenshaw,2017,13858,01041
Alabama-Crenshaw:2018,Alabama-Crenshaw,2018,13825,01041
Alabama-Crenshaw:2019,Alabama-Crenshaw,2019,13772,01041
Alabama-Cullman:2000,Alabama-Cullman,2000,77473,01043
Alabama-Cullman:2001,Alabama-Cullman,2001,77415,01043
Alabama-Cullman:2002,Alabama-Cullman,2002,77443,01043
Alabama-Cullman:2003,Alabama-Cullman,2003,77657,01043
Alabama-Cullman:2004,Alabama-Cullman,2004,78131,01043
Alabama-Cullman:2005,Alabama-Cullman,2005,78692,01043
Alabama-Cullman:2006,Alabama-Cullman,2006,79044,01043
Alabama-Cullman:2007,Alabama-Cullman,2007,79576,01043
Alabama-Cullman:2008,Alabama-Cullman,2008,80273,01043
Alabama-Cullman:2009,Alabama-Cullman,2009,80351,01043
Alabama-Cullman:2010,Alabama-Cullman,2010,80456,01043
Alabama-Cullman:2011,Alabama-Cullman,2011,80410,01043
